2	가구비율 / 2024년	100.00	22.81	39.34	27.18
3	   1. 가구특성 / 2025년	100.00	22.28	40.66	28.69
4	가구원수 / 2024년	2.38	2.76	2.02	1.85
5	2025년	2.31	2.70	1.98	1.82
6	가구주 연령 / 2024년	54.91	54.60	70.41	74.14
7	(단위: %, 명, 세) / 2025년	55.25	54.67	70.53	74.06
8	자산 / 전체가구 / 평 균 / 2024년	54022.15	61448.35	58250.83	51516.98
9	2. 자산의 분포 / 2025년	56677.50	66205.12	60095.49	54271.90
10	보유가구 / 비 율 / 2024년	100.00	100.00	100.00	100.00
11	2025년	100.00	100.00	100.00	100.00
12	중앙값 / 2024년	30645.00	37440.00	27840.00	24004.00
13	(단위: 만원, %) / 2025년	30270.00	38005.00	28060.00	24400.00
14	       3. 금융자산의 분포 / 금융자산 / 전체가구 / 평 균 / 2024년	13378.01	15588.96	10976.15	8701.50
15	2025년	13689.85	16506.73	11235.80	9147.13
16	보유가구 / 비 율 / 2024년	99.94	99.91	99.99	99.99
17	2025년	99.96	99.94	99.98	99.97
18	중앙값 / 2024년	6200.00	7910.00	4000.00	3000.00
19	(단위: 만원, %) / 2025년	6320.00	8100.00	4150.00	3100.00
20	       3. 금융자산의 분포(계속) / 금융자산 / 저축액 / 전체가구 / 평 균 / 2024년	9709.90	12612.73	9258.32	7323.72
21	2025년	9960.25	13173.29	9474.72	7765.60
22	보유가구 / 비 율 / 2024년	99.89	99.86	99.93	99.94
23	2025년	99.92	99.81	99.95	99.94
24	중앙값 / 2024년	4320.00	6350.00	3063.00	2130.00
25	(단위: 만원, %) / 2025년	4400.00	6320.00	3199.00	2270.00
26	       3. 금융자산의 분포(계속) / 금융자산 / 저축액 / 적립·예치식 저축 / 전체가구 / 평 균 / 2024년	9322.00	12076.46	8931.16	7145.89
27	2025년	9569.97	12610.37	9183.47	7563.32
28	보유가구 / 비 율 / 2024년	99.88	99.84	99.92	99.94
29	2025년	99.91	99.76	99.95	99.94
30	중앙값 / 2024년	4100.00	5989.00	3000.00	2055.00
31	(단위: 만원, %) / 2025년	4200.00	5915.00	3073.00	2200.00
32	       3. 금융자산의 분포(계속) / 금융자산 / 전·월세보증금 / 전체가구 / 평 균 / 2024년	3668.11	2976.22	1717.82	1377.78
33	2025년	3729.59	3333.45	1761.08	1381.52
